File,MRR,Total_Tokens,Predicted_Tokens
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/16437.java.tokens,0.828125,17,17
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/16438.java.tokens,0.8625,21,21
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/16455.java.tokens,0.85,21,21
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/16445.java.tokens,0.7534722222222222,25,25
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/internal/build/16521.java.tokens,0.7138203017832647,82,82
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/internal/build/16522.java.tokens,0.7412280701754387,20,20
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/internal/gradle/16609.java.tokens,0.7816425120772946,70,70
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/internal/gradle/16606.java.tokens,0.6464285714285715,31,31
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/internal/gradle/16604.java.tokens,0.6822472848788639,115,115
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/internal/gradle/16602.java.tokens,0.726984126984127,43,43
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/internal/gradle/16610.java.tokens,0.7390427599611272,99,99
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/internal/gradle/16600.java.tokens,0.7681910569105691,83,83
